,aspect,document,sentiment
1448,KEYBOARD#DESIGN_FEATURES,i also love having the extra calculator number set up on the keyboard which most laptops do not have.,positive
1449,KEYBOARD#DESIGN_FEATURES,also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,negative
1450,LAPTOP#GENERAL,So i would not reccomend anyone buying this computer,negative
1451,LAPTOP#DESIGN_FEATURES,"First, it does not have a push button to open the lid.",negative
1452,LAPTOP#DESIGN_FEATURES,It is held in place magnetically.,neutral
1453,LAPTOP#DESIGN_FEATURES,There is a little indent to help open it - but good luck with that.,neutral
1454,LAPTOP#DESIGN_FEATURES,"Once open, the leading edge is razor sharp.",negative
1455,LAPTOP#DESIGN_FEATURES,This is the complete opposite to an ergonomic design.,negative
1456,LAPTOP#USABILITY,Using this machine is like a mild form of torture.,negative
1457,,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",
1458,MOUSE#DESIGN_FEATURES,The much lauded combined touch pad and clicker is a nightmare.,negative
1459,MOUSE#OPERATION_PERFORMANCE,I lost two items I was working on until I figured out what was happening.,negative
1460,KEYBOARD#QUALITY,"Also, the space bar makes a noisy click every time you use it.",negative
1461,LAPTOP#GENERAL,"I hate to say this, but if I could take this back to the shop and get my money back, then I would.",negative
1462,LAPTOP#USABILITY,"It is absolutely horrible to use, despite all its so called advanced features.",negative
1463,LAPTOP#GENERAL,I regret buying it before understanding how awful it is to use.,negative
1464,,"Buy this if you like being tortured, teased, frustrated and wasting twice as much time as you spent using your old Mac.",
1465,LAPTOP#GENERAL,It's a bummer and one out of five is being kind.,negative
1466,LAPTOP#GENERAL,My Mac has gone from being a trusted friend to an adversary.,negative
1467,,I'm going to try and keep my old G4 on the road for as long as possible.,
1468,LAPTOP#GENERAL,"In due course, I'll remove the hard disc from this new MacBook Pro and dump it where it belongs - in the trash.",negative
1469,,"This is the first time that I tried and owning a netbook although I have used 3 different laptops in the past 10 years, I find not much difference except of course for the screen size.",
1470,DISPLAY#DESIGN_FEATURES,But the screen size is not that bad for email and web browsing.,neutral
1471,LAPTOP#DESIGN_FEATURES,I like this machine because its very lightweight...,positive
1472,BATTERY#OPERATION_PERFORMANCE,very convenient when you travel and the battery life is excellent...,positive
1473,BATTERY#OPERATION_PERFORMANCE,10 hours of battery life is really something else....,positive
1474,LAPTOP#GENERAL,I highly recommend that you buy this product.,positive
1475,,"I've owned every ""Pro"" model Apple laptop for the last 8 years, this is BY FAR the WORST one I've ever had.",
1476,LAPTOP#OPERATION_PERFORMANCE,"It crashes, and when it goes flat, it just DIES (like a PC, maybe worse) and I loose all my open documents!",negative
1477,LAPTOP#GENERAL,I Hate it!,negative
1478,LAPTOP#USABILITY,It is the easiest computer I have ever used,positive
1479,,I have had some excellent computer and have found I had no idea what to do with them,
1480,,"I saw this one, and I have the most difficult time trying to use them, they've made great dust collectors, I hate putting this computer down",
1481,LAPTOP#GENERAL,I LOVE IT!,positive
1482,LAPTOP#GENERAL,I can't say enough good for it!,positive
1483,LAPTOP#GENERAL,It's A MAC!!,positive
1484,LAPTOP#GENERAL,"I fine Apple MC373LL/A 2.66GHz 15"" Macboook Pro Notebook meets all my needs for a laptop computer when on the go.",positive
1485,LAPTOP#MISCELLANEOUS,I like to use it at the race track to handiecap the horse races.,positive
1486,LAPTOP#QUALITY,It's face and depanable.,positive
1487,LAPTOP#MISCELLANEOUS,As a graphic arts a retired instructor I still love to play with the graphic with photos and clip art .....,positive
1488,LAPTOP#GENERAL,it's just a great toy to have around.,positive
1489,LAPTOP#OPERATION_PERFORMANCE,very very slow laptop.,negative
1490,LAPTOP#DESIGN_FEATURES,tons of bloatware and junk programs.,negative
1491,LAPTOP#USABILITY,can't reinstall with standard os cd because of proprietary hardware drivers.,negative
1492,KEYBOARD#DESIGN_FEATURES,keys are all in weird places and is way too large for the way it is designed.,negative
1493,KEYBOARD#DESIGN_FEATURES,lots of extra space but the keyboard is ridiculously small.,negative
1494,LAPTOP#GENERAL,Amazing machine.,positive
1495,LAPTOP#DESIGN_FEATURES,"It is a big big, but since it has a 18.4"" screen what would you expect!",neutral
1496,LAPTOP#MISCELLANEOUS,It is truly a Desktop Replacement.,positive
1497,LAPTOP#OPERATION_PERFORMANCE,Very fast and efficient!,positive
1498,LAPTOP#MISCELLANEOUS,Does a great job with video shot on a Canon 5D MKII.,positive
1499,LAPTOP#GENERAL,Very happy with my 7th Toshiba laptop!,positive
1500,MOUSE#USABILITY,"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",positive
1501,,"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.",
1502,SOFTWARE#GENERAL,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",positive
1503,LAPTOP#QUALITY,I especially appreciate the fact that it has almost zero viruses and spyware problems!,positive
1504,DISPLAY#QUALITY,"The only drawback for me is how dirty the screen gets, and rather quickly too.",negative
1505,,I'm hoping that I can find a really quick way to clean it without it getting too gross.,
1506,LAPTOP#USABILITY,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,positive
1507,LAPTOP#OPERATION_PERFORMANCE,Now I have the best of both worlds with all of the power and ease of the Mac!,positive
1508,LAPTOP#MISCELLANEOUS,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",positive
1509,LAPTOP#GENERAL,I never have had a good result with this computer.,negative
1510,LAPTOP#QUALITY,"I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.",negative
1511,SUPPORT#QUALITY,"They told me it was my loss even though it was the computer, not  what I've done.",negative
1512,HARD_DISC#QUALITY,"The hard drive crashed as well, and I had to buy a new  power cord.",negative
1513,SUPPORT#QUALITY,"They told me to reprogram the computer, and I didn't need  to do that, and I lost pictures of my oldests first 2 years of her  life.",negative
1514,COMPANY#GENERAL,"I don't like this company nor the toshiba brand, and I'll never  buy another one because I've put more into it then it is worth.",negative
1515,COMPANY#GENERAL,I would  rather spend my money on a computer that costs more then a Toshiba that  isn't good at all.,negative
1516,,I just bought this laptop 3 days ago.,
1517,MULTIMEDIA_DEVICES#QUALITY,The right speaker did not work.,negative
1518,,I took it back to the store and exchanged it for another one.,
1519,MULTIMEDIA_DEVICES#QUALITY,"Again, the same problem, the right speaker did not work.",negative
1520,LAPTOP#GENERAL,I returned the 2nd laptop for a full refund.,negative
1521,MOUSE#GENERAL,the mouse pad and buttons are the worst i've ever seen.,negative
1522,MOUSE#OPERATION_PERFORMANCE,sometimes you will be moving your finger and the pointer will not even move.,negative
1523,MOUSE#USABILITY,the mouse buttons are hard to push.,negative
1524,COMPANY#GENERAL,i cant believe HP put this out.,negative
1525,LAPTOP#GENERAL,do not buy you will be disappointed.,negative
1526,LAPTOP#GENERAL,i'm returning mine,negative
1527,LAPTOP#GENERAL,dell is a decently made pc.,neutral
1528,,although its windows vista compared to windows xp sucks.,
1529,GRAPHICS#GENERAL,the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,negative
1530,LAPTOP#DESIGN_FEATURES,with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,negative
1531,LAPTOP#GENERAL,so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop.,negative
1532,COMPANY#GENERAL,"I love HP,, it's the only computer/printer we will buy.",positive
1533,,Got this for a graduation gift for my daughter for her to use at college.,
1534,LAPTOP#MISCELLANEOUS,This is perfect for her field.,positive
1535,LAPTOP#GENERAL,"At first when I got this product, I loved it.",positive
1536,LAPTOP#OPERATION_PERFORMANCE,"The computer itself was fast, ran smoothly, and had no problems.",positive
1537,POWER_SUPPLY#QUALITY,"Then, within 5 months, the charger crapped out on me.",negative
1538,SUPPORT#QUALITY,"So I called Compaq, and after being on the phone for 3 hours, i finally got a replacement which I shouldn't have had a problem getting since it was under warranty.",negative
1539,BATTERY#QUALITY,"2 months later, the battery went.",negative
1540,BATTERY#OPERATION_PERFORMANCE,"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",negative
1541,POWER_SUPPLY#MISCELLANEOUS,"THEN, one month after the warranty expired, the replacement charger went.",negative
1542,LAPTOP#MISCELLANEOUS,I had to pay $100 for a universal charger for this cheap $300 laptop.,negative
1543,LAPTOP#GENERAL,Not worth it one bit.,negative
1544,LAPTOP#DESIGN_FEATURES,"The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory.",negative
1545,DISPLAY#QUALITY,"Also, my sister got the exact same laptop (since they were so cheap) and after 8 months, the screen split in half just from everyday use.",negative
1546,LAPTOP#QUALITY,"Apparently under the screen there are 2 little screws and when the screen gets moved back and forth, they come loose.",negative
1547,LAPTOP#QUALITY,And it is impossible to get them back in.,negative
1548,LAPTOP#DESIGN_FEATURES,Strengths:Well-shaped,positive
