,aspect,document,sentiment
1740,,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",
1741,,"A little pricey but it is well, well worth it.",
1742,,I've been a PC user and I just finally switched and I am never going back.,
1743,,It is amazing.,
1744,,This is the third MacBook Pro in our family.,
1745,,I bought my first MacBook after seeing the product demonstrated.,
1746,,Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.,
1747,,Now they are believers in the product.,
1748,,"It is easy to use, has great screen quality, and every so light weight.",
1749,,I own other Macs but always find myself navigation to the MacBook Pro to get my work done.,
1750,,Bought it to use mostly for oline classes.,
1751,,i would have to say that overall its great!,
1752,,"Aside from the trial software and the short battery life, lack of a webcam, its great.",
1753,,"Fast, great visual!",
1754,,"Oh yea, has no numeric pad on the side.",
1755,,"I use that alot on my desktop, so I am adjusting to not having it.",
1756,,This is my first personal Satellite purchase but had very good experience through previous Satellite work issued laptops.,
1757,,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",
1758,,I occassionaly use it for work via VPN and it has not given me any problems.,
1759,,"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",
1760,,I consider myself an average user and this computer serves my need.,
1761,,The price is another driving influence that made me purchase this laptop.,
1762,,"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.",
1763,,I normally dont participate in reviews/surveys but this laptop has not given me any problems and hope to share my thoughts...,
1764,,another satisfied customer.,
1765,,"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",
1766,,"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.",
1767,,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",
1768,,I especially appreciate the fact that it has almost zero viruses and spyware problems!,
1769,,"The only drawback for me is how dirty the screen gets, and rather quickly too.",
1770,,I'm hoping that I can find a really quick way to clean it without it getting too gross.,
1771,,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,
1772,,Now I have the best of both worlds with all of the power and ease of the Mac!,
1773,,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",
1774,,"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",
1775,,she can't tell the difference between it and her regular desktop system.,
1776,,The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.,
1777,,"If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.",
1778,,I am a freelance graphic artist.,
1779,,I need graphic power to run my Adobe Creative apps efficiently.,
1780,,This machine delivers.,
1781,,It is much faster than my desktop which is a Core2 Quad running at 2.83 GHz.,
1782,,It is also extremely pleasing to the eyes without looking too much like an Alienware gaming machine.,
1783,,I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,
1784,,It is a bit heavy.,
1785,,It would be a load on long trips where a lot of walking is required.,
1786,,"If that is the case for you, I would suggest a pull-behind solution when looking at cases.",
1787,,Had some trouble finding a case that it would fit in.,
1788,,"This is an over-sized, 18-inch laptop.",
1789,,Most of the large bags are for a 17 inch.,
1790,,You may need to special order a bag.,
1791,,It wouldn't fit in most 17-inch bags.,
1792,,I was disappointed when I realized that the keyboard doesn't light up on this model.,
1793,,It also does not have bluetooth.,
1794,,Pay attention to the specs if you want these options.,
1795,,You'll need to upgrade and pay a little more for them.,
1796,,I should have been more observant.,
1797,,"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.",
1798,,They are not.,
1799,,"Overall, still a very nice machine.",
1800,,Boots up fast and runs great!,
1801,,I'm pleased.,
1802,,I bought this laptop about a month ago to replace my compaq laptop.,
1803,,I paid about the same for my Toshiba as I did for the compaq a few years back.,
1804,,The difference is the Toshiba had a lot more memory and hard drive space.,
1805,,It's super fast and a great value for the price!,
1806,,I would definitely recommend checking out this laptop if you are in the market for one.,
1807,,The Computer Is Horrible Its To Slow.,
1808,,The Thing That You Insert CDs Into Won't Open.,
1809,,I Won't Ever Buy A Computer Off Amazon Again That's For Sure!,
1810,,This was an update from an early MacBook Pro.,
1811,,"Love the speed, especially!",
1812,,So glad I decided to upgrade!,
1813,,"Thanks, MacConnection, for making this a seamless purchase!",
1814,,The HP Envy 15 has been everything I expected.,
1815,,"After doing much research for a laptop that had all the features I was looking for, This one hit all the criteria I had.",
1816,,Amazon had the best pricing and the delivery was on time.,
1817,,The laptop is very responsice with the Core i7 processor and 8GB of RAM and the sound out of the Beats audio is great.,
1818,,I would highly recommend this product to anyone looking for a top performing laptop.,
1819,,I'm new - just switched from years of PC frustration.,
1820,,"what an elegant, wonderful machine.",
1821,,"I'm making the switch and finding that my biggest problem is trying to do things the 'old' way - and Apple does, indeed, have the better idea.",
1822,,I really wish I had done this years ago.,
1823,,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,
